what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1416566159616
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416566159616
java.specification.version,sysinfo,,,"1.6",1416566159616
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1416566159616
java.version,sysinfo,,,"1.6.0_23",1416566159616
java.vm.info,sysinfo,,,"mixed mode",1416566159616
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416566159616
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416566159616
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416566159616
java.vm.specification.version,sysinfo,,,"1.0",1416566159616
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1416566159616
java.vm.version,sysinfo,,,"19.0-b09",1416566159616
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1416566159796
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1416566160037
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1416566163253
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1416566163673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416566164862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416566167746
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1416566167756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1416566167756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416566170657
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416566172289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416566172319
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1416566172319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1416566172319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416566172329
